soil_moisture,soil_temp,soil_ph,soil_ec,air_temp,humidity,co2_ppm,vpd_kpa,growth_stage,days_since_transplant,irrigation_needed,growth_stage_encoded
54.35,36.82,7.2,2.89,19.21,48.89,369.7,2.19,flowering,24,1,2
72.31,15.35,7.17,4.25,15.02,96.56,1041.0,1.61,seedling,49,0,0
64.11,23.6,5.14,4.4,21.28,45.16,1042.1,1.08,fruiting,3,0,3
85.9,30.33,6.35,0.55,40.44,72.11,762.5,0.24,vegetative,60,0,1
37.93,25.88,5.1,4.14,21.99,77.76,674.1,1.4,flowering,54,1,2
32.04,34.21,6.35,2.08,40.02,81.45,691.8,1.51,flowering,62,1,2
51.15,23.33,5.81,3.81,24.63,56.01,951.2,0.52,fruiting,65,1,3
31.02,24.16,6.18,1.67,15.38,51.33,1153.6,2.02,flowering,41,1,2
89.47,34.4,6.35,0.88,25.01,78.12,1099.1,1.56,vegetative,35,0,1
60.69,16.87,7.14,3.54,30.15,83.95,892.6,1.4,vegetative,42,0,1
58.56,18.84,7.69,2.4,30.21,79.64,467.2,1.59,flowering,29,1,2
44.87,15.85,5.87,1.14,40.1,86.06,1060.1,2.2,fruiting,44,1,3
57.07,35.2,5.97,0.99,24.62,91.69,626.6,1.69,seedling,3,1,0
30.45,26.26,6.25,1.39,18.24,59.24,1431.5,0.94,flowering,52,1,2
53.64,37.32,7.89,1.51,28.43,57.15,641.8,0.28,flowering,2,1,2
56.72,14.79,6.04,3.04,33.38,70.26,837.3,1.47,flowering,55,1,2
79.51,19.7,7.18,1.97,32.07,76.11,942.9,0.41,fruiting,59,0,3
42.12,14.98,6.77,3.21,15.45,69.19,571.8,1.68,vegetative,33,1,1
55.84,26.43,7.51,3.2,34.85,51.92,949.7,1.8,vegetative,16,1,1
83.12,27.32,6.59,1.47,17.51,91.14,1380.5,1.66,vegetative,19,0,1
